Notebook Path,Notebook Name,Character Count
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,_Maschine_Learning_-checkpoint.ipynb,763
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Allgemeine_Methoden,Fehler_1_Art.ipynb,3382
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Allgemeine_Methoden,Fehler_2_Art.ipynb,2049
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Allgemeine_Methoden,Hypothesentest.ipynb,2603
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Allgemeine_Methoden,tzp.ipynb,7312
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Decisiontree,Decisiontree.ipynb,78
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Decisiontree,Random_Forest.ipynb,15
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Decisiontree\.ipynb_checkpoints,Random_Forest-checkpoint.ipynb,15
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Lineare_Regression,Lineare_Regression.ipynb,3427
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Lineare_Regression,Ridge_Regression.ipynb,2309
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Logististische_Regression,Logistische_Regression.ipynb,24
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\Modelle\Unsupervised,Cluster.ipynb,1718
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Boolean_Normalizationa.ipynb,912
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Boolean_N_vs._One_Hot_Enconding.ipynb,2456
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Bucketization.ipynb,1563
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,ex_Imputation.ipynb,3258
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Formating.ipynb,2067
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Imputation.ipynb,1765
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Imput_Reg.ipynb,4494
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Missing_Values.ipynb,2505
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Normalization.ipynb,843
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Normalization_vs._Scaling.ipynb,2455
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,One_Hot_Encoding.ipynb,4526
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,PCA.ipynb,6559
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Pipeline.ipynb,317
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Scaling.ipynb,677
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Standardization.ipynb,3462
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Standardization_vs._PCA.ipynb,3977
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,Wide_vs._Long.ipynb,1057
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing,_Preprocessing_.ipynb,413
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing\.ipynb_checkpoints,Formating-checkpoint.ipynb,2067
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing\.ipynb_checkpoints,Missing_Values-checkpoint.ipynb,2505
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing\.ipynb_checkpoints,Pipeline-checkpoint.ipynb,194
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing\.ipynb_checkpoints,Standardization-checkpoint.ipynb,3462
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing\.ipynb_checkpoints,Wide_vs._Long-checkpoint.ipynb,1057
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Preprocessing\.ipynb_checkpoints,_Preprocessing_-checkpoint.ipynb,413
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Anwendung_Regressionsmodelle_in_Python.ipynb,8403
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Bayesian_Statistik.ipynb,25
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,bootstrapping.ipynb,264
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,confidence_measures.ipynb,30692
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Deskriptive_Statistik.ipynb,4833
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Diskrete_und_kontinuierliche_Datentypen.ipynb,4936
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Diskrete_und_stetige_Daten.ipynb,3935
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Einstieg_in_die_Statistik.ipynb,950
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,evtl_Verzerrungen_Regressionsmodelle.ipynb,4217
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,Explorative_Statistik.ipynb,23
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,ex_Hypothesentest_Geiser_Uebungen.ipynb,7448
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Statistik,fundamental_statistical_distributions.ipynb,28779
